Username,Comment
@Calma_Baby,Bhai man city only team in the world unbeaten until now without kdb and rodri make video on mancity focus on the best league Epl not laliga bro
@Suvo20000,Anti jinx button-------------->
@DoctorArc-s3g,"Carlo ki tactics me 
Bellingham ko bas majduri kara rahe hay 
Itna pyara player aur usko bas bhaga raha hay carlo"
@sribashsarkar4382,Anti Jinx button ------------------------>
@Zerato_81,"Kya audience hai teri bhai...JINX ki bakloli har comment pe..
bakchdi chorr ke video dekhlo kabhi...full match ka analysis kiya inn galeech audience k liye ,🤯"
@titanxtz1020,rewatch kaha kiya mujhe bhi btana pls
@eFootballlazy,"If you remember this type of tactic was used by Ancelotti in UCL final of 2005, AC Milan vs Liverpool"
@bhuwansapkota0000,00:58 filky flaka
@TheGauravkumarrathore,Bro has started losing hair analysing Mbappe & Madrid's gameplays 😭😭😂
@RanabirDan,""" Chhote mui mui se balak""💀"
@oldschoolBOY747,"Pep= Tika Tika
Flick= flick flicka
Xavi = Xai Xakka 🤣 😂"
@rrudranarayanpatralucky3176,Anti jinx
@saswatsenapati7870,"10:40 kya baat kr Raha bc😂😂😂😂 kuch bhi bak Raha. Replacing a attacking midfielder with a holding midfield is not tactical change??? Brooo basics Shi nhi hai tera.
And mbappe ki galti nhi hai kya bol Raha bhai tu analysis mat he kr. A elite world class player even though he is out of position should know how to place himself between two defenders. Scanning the pitch is a huge part for any striker or midfielder."
@DoctorArc-s3g,"It was midfield problem 
Sirf lambe lambe ball dalne se kuchh nahi hota 
Need someone like creator, controller who can throw ball at correct time"
@beupdateddd,Flicki Flacka ❤😂
@priyamtripathi8038,"""Have you ever stopped to watch a bluebird drop from a tree, and take to the air? Me Neither. Have you ever stopped to finish out a rhyme but the right words just weren't there? Meat Cleaver""

-😈🔥"
@deeptangshu4334,Flicky Flaka
@so_ul1064,3:40 bro have 5 eyes for a second
@geet_k1831,Aur bhai pent ka zip nhi kholna abhi😂
@jumankaushik2185,My ears are so blessed 😭😍
@mritabihnga6331,Full game replay kaha dekhe bhai bata do
@janmejaysingh1742,Which season is it ? Festive season . Which festival is around ? Diwali . What happens during Diwali ? People burn crackers . Who gets scared and cries ? Dogs . Which dogs am i talking about ? Penaldogs . The season is long Madridiots .
@The_MAS-1,10 out 15 champions league win by offside now it's reverse 😅
@shuvamsingh4014,YASH GOLDBRIDGE ERA incoming
@YugLohia,"Match ke phale jinx, match ke baad jinx, bas bhai bas"
@rohitgusainvlogs,Its Monday and Mbappe is still Offside
@playallgamer8684,Mbappe ko nikal do sab sahi ho jai ga
@sumitchaudhari10,Filcki -faka😂
@mathewstyles2112,What was the beef between carlo and flick😂
@amangupta5817,"While everyone is talking about stories, redemption, celebrations, offside turtle, I actually wanted this. A pure tactical breakdown."
@kevalparekh27,"2nd video on the same topic, Yash bhai maaf karde🙏🏻😭"
@ahmedtahsin8208,Mbappe is flop as a number 9. Joselu was far better.
@soumyajyotidas595,"If Yash told us vini is going to win bdor today, I believe rodri is going to win, ye ladka jinx nehi karta yeah khud illuminati in reverse hai"
@Dx_Era_31,Finally bakchodi video ko left karke bhai ne analysis video daali channel pe 🤡🤡
@zzyuk814,"i think only Chelsea can eat this barca defense alive 
only their defence sucks"
@hiteshbhaisal3888,Anti jinx ❤️
@deepaksattawan182,Anti jinx butten
@theverify7167,Legends say Mbappé is still offside!
@rajdeepsana9083,Anti jinx 🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯🕯
@arghadeepkar1790,"I think this Barca will excel with De Jong strating, if you see the common string across both games Barca started scoring more and more only after Dejong came in and slowed the game down a bit. starting Casado and De Jong might be the move with pedri playing higher up the pitch"
@sauravkumardubey8349,Yash has gone crazy 🤣🤣🤣
@desiviking3755,Bhai log koi please batao ke full match highlights kaha dekhe.
@arjunrock5435,WTF mbappe is still offside 😂😂😂
@nehalshaikh1865,Anti jinx button
@tarunsoni9734,1:36 bbc center backs... bro💀🤣
@Footballwithkamy,Time for xabi Alonso ball
@shreyanshjain1373,3:42 gola
@ASH-zl8cb,Bro Speaking Facts 🗣️
@krishnakeshav3938,Wo sab chodo ye batao; puri game dekhi kaha!!!?? Koi bata dooo
@namansingla9444,Tactical jinx ki koshish
@RishabhSingh-ji4js,"Yy bro we finally know ""this Madrid is illegal"""
@Athaarvvv426,"Lockdown kids are going to make you God bro.....
Soon 😂"
@aniketroy03,Any Indian analysis of european football 🤡
@syedshariqazeem,6:38 phta hua pjama ka nara😂😂😂😂.
@sayarsarkarmaths,"Can anyone tell me how to watch full match replay,"
